entry_date,n_long,gross_fwd5d_ret,net_fwd5d_ret
2025-10-09,20,-0.004171203839317817,-0.005171203839317817
2025-10-10,20,0.04626330811431816,0.04526330811431816
2025-10-13,20,0.017303470287529127,0.016303470287529126
2025-10-14,20,0.02313526154865959,0.02213526154865959
2025-10-15,20,0.02222585764860178,0.02122585764860178
2025-10-16,20,0.020854263694084486,0.019854263694084485
2025-10-17,20,0.008419755011890467,0.007419755011890467
2025-10-20,20,0.020334911040878745,0.019334911040878745
2025-10-21,20,0.03164285296876186,0.03064285296876186
2025-10-22,20,0.011969896844122451,0.010969896844122452
2025-10-23,20,-0.018812674163809568,-0.01981267416380957
2025-10-24,20,-0.00552051010187547,-0.00652051010187547
2025-10-27,20,-0.046688188761227586,-0.04768818876122759
2025-10-28,20,-0.02979224570901439,-0.03079224570901439
