ticker,total_debt,shares_outstanding,is_fully_islamic,non_permissible_revenue,total_revenue,alcohol,pork,gambling,pornography,tobacco_vaping,recreational_cannabis,impermissible_advertising,impermissible_media,deferred_gold_silver,conventional_finance,sector
CNQ,75145000000.0,2083107000.0,False,0.0,41509000000.0,False,False,False,False,False,False,False,False,False,False,Energy
COO,10220200000.0,198808921.0,False,0.0,3895400000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
COP,89809000000.0,1235718250.0,False,0.0,54745000000.0,False,False,False,False,False,False,False,False,False,False,Energy
CP,90485000000.0,900831248.0,False,0.0,14546000000.0,False,False,False,False,False,False,False,False,False,False,Industrials
CPRT,,967834374.0,False,0.0,4646958000.0,False,False,False,False,False,False,False,False,False,False,Industrials
CPT,,106395330.0,False,0.0,1543842000.0,False,False,False,False,False,False,False,False,False,False,Real Estate
CRH,54830000000.0,669732032.0,False,0.0,35572000000.0,False,False,False,False,False,False,False,False,False,False,Basic Materials
CRL,,49215471.0,False,0.0,4049989000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
CRM,,952000000.0,False,0.0,37895000000.0,False,False,False,False,False,False,False,False,False,False,Technology
CRWD,2321785000.0,250955140.0,False,0.0,3953624000.0,False,False,False,False,False,False,False,False,False,False,Technology
CSCO,104026000000.0,3940724908.0,False,0.0,56654000000.0,False,False,False,False,False,False,False,False,False,False,Technology
CSLLY,40511000000.0,970302788.0,False,0.0,15430000000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
CSUAY,116705000000.0,844370500.0,False,0.0,338375000000.0,False,False,False,False,False,False,False,False,False,False,Energy
CSX,74051000000.0,1862136956.0,False,0.0,14540000000.0,False,False,False,False,False,False,False,False,False,False,Industrials
CTAS,,401866678.0,False,0.0,10340181000.0,False,False,False,False,False,False,False,False,False,False,Industrials
CTRA,,761377552.0,False,0.0,5458000000.0,False,False,False,False,False,False,False,False,False,False,Energy
CTSH,3868000000.0,482646473.0,False,0.0,19736000000.0,False,False,False,False,False,False,False,False,False,False,Technology
CTVA,8109000000.0,675732000.0,False,0.0,16908000000.0,False,False,False,False,False,False,False,False,False,False,Basic Materials
CVE,33589000000.0,1745535223.0,False,0.0,57726000000.0,False,False,False,False,False,False,False,False,False,False,Energy
CVX,90175000000.0,1999353597.0,False,0.0,193414000000.0,False,False,False,False,False,False,False,False,False,False,Energy
DAL,74861000000.0,652962768.0,False,0.0,61643000000.0,False,False,False,False,False,False,False,False,False,False,Industrials
DASH,,406334617.0,False,0.0,10722000000.0,False,False,False,False,False,False,False,False,False,False,Consumer Cyclical
DASTY,,1316411035.0,False,0.0,6213600000.0,False,False,False,False,False,False,False,False,False,False,Technology
DD,26834000000.0,418975324.0,False,0.0,12386000000.0,False,False,False,False,False,False,False,False,False,False,Basic Materials
DECK,553950000.0,145744833.0,False,0.0,4985612000.0,False,False,False,False,False,False,False,False,False,False,Consumer Cyclical
DELL,94635000000.0,338646945.0,False,0.0,95567000000.0,False,False,False,False,False,False,False,False,False,False,Technology
DFKCY,211848000000.0,735400972.0,False,0.0,611477000000.0,False,False,False,False,False,False,False,False,False,False,Industrials
DHR,64224000000.0,706349563.0,False,0.0,23875000000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
DIFTY,372572000000.0,1325430160.0,False,0.0,1842356000000.0,False,False,False,False,False,False,False,False,False,False,Real Estate
DLR,65575055000.0,343501552.0,False,0.0,5554968000.0,False,False,False,False,False,False,False,False,False,False,Real Estate
DLTR,21267100000.0,203967842.0,False,0.0,17578500000.0,False,False,False,False,False,False,False,False,False,False,Consumer Defensive
DNPLY,513525000000.0,898501014.0,False,0.0,1457609000000.0,False,False,False,False,False,False,False,False,False,False,Industrials
DNZOY,,2704027648.0,False,0.0,7161777000000.0,False,False,False,False,False,False,False,False,False,False,Consumer Cyclical
DOCU,,201104117.0,False,0.0,2976739000.0,False,False,False,False,False,False,False,False,False,False,Technology
DOV,10321833000.0,137153223.0,False,0.0,7745909000.0,False,False,False,False,False,False,False,False,False,False,Industrials
DOW,63909000000.0,710767392.0,False,0.0,42964000000.0,False,False,False,False,False,False,False,False,False,False,Basic Materials
DQJCY,1521976000000.0,1493339798.0,False,0.0,2246758000000.0,False,False,False,False,False,False,False,False,False,False,Consumer Defensive
DSCSY,0.0,1084305510.0,False,0.0,393313000000.0,False,False,False,False,False,False,False,False,False,False,Technology
DSNKY,303996000000.0,1851049073.0,False,0.0,1886256000000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
DVN,35326000000.0,627300000.0,False,0.0,15940000000.0,False,False,False,False,False,False,False,False,False,False,Energy
DXCM,9451500000.0,390016272.0,False,0.0,4033000000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
EA,5786000000.0,249404562.0,False,0.0,7463000000.0,False,False,False,False,False,False,False,False,False,False,Communication Services
EBAY,28143000000.0,452000000.0,False,0.0,10283000000.0,False,False,False,False,False,False,False,False,False,False,Consumer Cyclical
ECL,30438400000.0,283235653.0,False,0.0,15741400000.0,False,False,False,False,False,False,False,False,False,False,Basic Materials
EDU,1621955000.0,159145747.0,False,0.0,4900262000.0,False,False,False,False,False,False,False,False,False,False,Consumer Defensive
EFX,19872100000.0,122394037.0,False,0.0,5681100000.0,False,False,False,False,False,False,False,False,False,False,Industrials
EGP,6080031000.0,53348644.0,False,0.0,640234000.0,False,False,False,False,False,False,False,False,False,False,Real Estate
EL,30647000000.0,245852896.0,False,0.0,14326000000.0,False,False,False,False,False,False,False,False,False,False,Consumer Defensive
ELS,12812968000.0,193828480.0,False,0.0,1433300000.0,False,False,False,False,False,False,False,False,False,False,Real Estate
EMR,52206000000.0,561800000.0,False,0.0,18016000000.0,False,False,False,False,False,False,False,False,False,False,Industrials
EOG,,542598457.0,False,0.0,23378000000.0,False,False,False,False,False,False,False,False,False,False,Energy
EPAM,,55242618.0,False,0.0,4727940000.0,False,False,False,False,False,False,False,False,False,False,Technology
EQIX,65263000000.0,98186078.0,False,0.0,8748000000.0,False,False,False,False,False,False,False,False,False,False,Real Estate
EQR,33034472000.0,380474721.0,False,0.0,2980108000.0,False,False,False,False,False,False,False,False,False,False,Real Estate
ERIC,,3071530678.0,False,0.0,247880000000.0,False,False,False,False,False,False,False,False,False,False,Technology
ESLOY,43319000000.0,926087406.0,False,0.0,26508000000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
EW,1997700000.0,580300000.0,False,0.0,5439500000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
EXE,22545000000.0,238169697.0,False,0.0,4221000000.0,False,False,False,False,False,False,False,False,False,False,Energy
EXPD,1137874000.0,134020931.0,False,0.0,10600515000.0,False,False,False,False,False,False,False,False,False,False,Industrials
EXPGY,19424000000.0,913226027.0,False,0.0,7523000000.0,False,False,False,False,False,False,False,False,False,False,Industrials
FANUY,0.0,1866319584.0,False,0.0,797129000000.0,False,False,False,False,False,False,False,False,False,False,Industrials
FAST,,1148035721.0,False,0.0,7546000000.0,False,False,False,False,False,False,False,False,False,False,Industrials
FCX,33449000000.0,1435930660.0,False,0.0,25455000000.0,False,False,False,False,False,False,False,False,False,False,Basic Materials
FDX,110488000000.0,235955461.0,False,0.0,87926000000.0,False,False,False,False,False,False,False,False,False,False,Industrials
FERG,19562000000.0,0.0,False,0.0,30762000000.0,False,False,False,False,False,False,False,False,False,False,Industrials
FICO,12127002000.0,23709047.0,False,0.0,1990869000.0,False,False,False,False,False,False,False,False,False,False,Technology
FJTSY,,1772432855.0,False,0.0,3550116000000.0,False,False,False,False,False,False,False,False,False,False,Technology
FLEX,13391000000.0,369790328.0,False,0.0,25813000000.0,False,False,False,False,False,False,False,False,False,False,Technology
FRCOY,,3068191790.0,False,0.0,3103836000000.0,False,False,False,False,False,False,False,False,False,False,Consumer Cyclical
FSLR,2047382000.0,107308141.0,False,0.0,4206289000.0,False,False,False,False,False,False,False,False,False,False,Technology
FSUGY,16220000000.0,1539482459.0,False,0.0,15420000000.0,False,False,False,False,False,False,False,False,False,False,Basic Materials
FSV,5502318000.0,45712236.0,False,0.0,5216894000.0,False,False,False,False,False,False,False,False,False,False,Real Estate
FTNT,2982900000.0,743648102.0,False,0.0,5955800000.0,False,False,False,False,False,False,False,False,False,False,Technology
FTV,14355100000.0,317611636.0,False,0.0,6231800000.0,False,False,False,False,False,False,False,False,False,False,Technology
FUJHY,1198500000000.0,1442864846.0,False,0.0,4685763000000.0,False,False,False,False,False,False,False,False,False,False,Consumer Cyclical
