ticker,total_debt,shares_outstanding,total_revenue,debt_to_revenue,revenue_per_share
BZ,604254000.0,398688012.0,7355677000.0,0.08214797903714369,18.44970698542097
CAH,30234000000.0,237595042.0,222578000000.0,0.13583552732075946,936.7956423939183
CAJPY,1872245000000.0,878625682.0,4509821000000.0,0.41514840611190557,5132.8126327179225
CARR,46007000000.0,842209781.0,22486000000.0,2.0460286400426932,26.69881127870682
CBRE,18648000000.0,297592997.0,35767000000.0,0.5213744513098666,120.18764003374717
CDNS,,272201000.0,4641264000.0,,17.05087049643462
CDW,23165900000.0,130193660.0,20998700000.0,1.1032063889669361,161.28819175987525
CEG,30626000000.0,312290080.0,23568000000.0,1.2994738628649016,75.46829537460812
CF,,155974644.0,5936000000.0,,38.05746785355702
CFRUY,35710000000.0,5341820890.0,21399000000.0,1.6687695686714332,4.00593738364747
CGEMY,19653000000.0,828140555.0,22096000000.0,0.8894370021723389,26.681461095695283
CHD,,240130071.0,6107100000.0,,25.432466556843686
CHEOY,,130796924.0,2343100000.0,,17.91402984369877
CHGCY,0.0,3291406654.0,1170611000000.0,0.0,355.65675197787334
CHRW,6091800000.0,118137178.0,17724956000.0,0.34368491521220135,150.03706961749162
CHT,118798000000.0,775744655.0,228575000000.0,0.5197331291698567,294.6523685683661
CL,31826000000.0,806064942.0,20101000000.0,1.5833043132182478,24.93719668557425
CLCGY,7572572000.0,117247930.0,45437640000.0,0.16665856765448206,387.5346882456688
CLPBY,87754000000.0,2073667960.0,27030000000.0,3.2465408805031446,13.034873722020569
CLS,2763500000.0,115036621.0,9646000000.0,0.28649181007671576,83.85155888749549
CLX,10569000000.0,121980379.0,7104000000.0,1.4877533783783783,58.23887463081255
CMI,27643000000.0,138036253.0,34102000000.0,0.810597618907982,247.05104100442367
CMPGY,20391000000.0,1697131467.0,42002000000.0,0.4854768820532356,24.74881929697907
CMSQY,6153883000.0,578387070.0,3114621000.0,1.9758047608360696,5.385011459540408
