Symbol,Description,% Portfolio Weight,Shares Held,Market Value,,
--,Sino Biopharmaceutical Ltd,0.12%,111600,100600,,
--,DSM-Firmenich AG,0.12%,1200,100100,,
--,Kia Corp,0.12%,1300,97000,,
--,PT Dian Swastatika Sentosa Tbk,0.12%,17300,99600,,
KAOOY,Kao Corp ADR,0.12%,11700,99000,,
BZ,Kanzhun Ltd ADR,0.11%,4100,87300,,
KYOCY,Kyocera Corp ADR,0.11%,6900,89600,,
SGSOY,SGS AG ADR,0.11%,8000,90300,,
WIT,Wipro Ltd ADR,0.11%,34300,89500,,
TRI,Thomson Reuters Corp,0.11%,650,90300,,
--,Logitech International SA,0.11%,738,88100,,
--,King Yuan Electronics Co Ltd,0.11%,12600,88700,,
--,JD Health International Inc,0.11%,11500,90200,,
--,Genmab AS,0.11%,313,90300,,
--,CMOC Group Ltd Class H,0.11%,40600,86900,,
--,CSPC Pharmaceutical Group Ltd,0.11%,89200,86700,,
--,Celltrion Inc,0.11%,778,93900,,
--,Aena SME SA,0.11%,3600,94300,,
--,Abu Dhabi Islamic Bank,0.11%,16300,92800,,
--,Alinma Bank,0.11%,13700,93100,,
--,Bid Corp Ltd,0.11%,3800,93400,,
--,Bizlink Holding Inc,0.11%,2000,86400,,
--,Realtek Semiconductor Corp,0.11%,5800,93800,,
ARM,ARM Holdings PLC ADR,0.11%,593,93800,,
ASCCY,ASICS Corp ADR,0.11%,3700,88700,,
--,ZTO Express (Cayman) Inc Ordinary Shares,0.11%,4700,89100,,
RDY,Dr Reddy's Laboratories Ltd ADR,0.11%,6900,92400,,
DASTY,Dassault Systemes SE ADR,0.11%,3400,89600,,
--,CGI Inc Class A,0.10%,986,83500,,
HALMY,Halma PLC ADR,0.10%,897,82200,,
--,Unimicron Technology Corp,0.10%,14800,79000,,
--,Yangzijiang Shipbuilding (Holdings) Ltd,0.10%,31900,84700,,
--,SABIC Agri-Nutrient Co,0.10%,2600,83700,,
--,3SBio Inc Shs Unitary 144A/Reg S,0.10%,20700,82100,,
--,Dr Sulaiman Al Habib Medical Services Gr...,0.10%,1100,80900,,
--,Dubai Islamic Bank PJSC,0.10%,32500,84100,,
--,Essity AB Class B,0.10%,3000,82700,,
--,J&T Global Express Ltd Ordinary Shares -...,0.10%,65800,84700,,
--,Novatek Microelectronics Corp,0.10%,6800,85200,,
TTNDY,Techtronic Industries Co Ltd ADR,0.10%,1400,80200,,
RYAAY,Ryanair Holdings PLC ADR,0.10%,1300,79500,,
NDEKY,Nitto Denko Corp ADR,0.10%,3500,85800,,
DQJCY,Pan Pacific International Holdings Corp ...,0.10%,6700,85200,,
HSHCY,Haier Smart Home Co Ltd ADR,0.10%,6500,85300,,
NRILY,Nomura Research Institute Ltd ADR,0.10%,2200,83700,,
MKKGY,Merck KGaA ADR,0.10%,3200,82400,,
EDU,New Oriental Education & Technology Grou...,0.10%,1500,80700,,
NJDCY,Nidec Corp ADR,0.09%,21900,74600,,
LSRCY,Lasertec Corp ADR,0.09%,2000,76400,,
KRYAY,Kerry Group PLC ADR,0.09%,777,71400,,
PAAS,Pan American Silver Corp,0.09%,2100,70700,,
SGPYY,Sage Group (The) PLC ADR,0.09%,1200,70400,,
SHZHY,Shenzhou International Group Holdings Lt...,0.09%,9000,75400,,
SMMNY,Siemens Healthineers AG ADR,0.09%,2900,74400,,
SNN,Smith & Nephew PLC ADR,0.09%,2200,70400,,
SQM,Sociedad Quimica Y Minera De Chile SA AD...,0.09%,1600,74200,,
UPMMY,UPM-Kymmene Oyj ADR,0.09%,2600,70900,,
--,Moncler SpA,0.09%,1100,70800,,
--,Etihad Etisalat Co JSC,0.09%,4200,73400,,
--,Dubai Electricity & Water Authority PJSC,0.09%,101000,75400,,
--,Chocoladefabriken Lindt & Spruengli AG O...,0.09%,5,76900,,
--,Cambricon Technologies Corp Ltd Class A,0.09%,349,72500,,
--,ADNOC Gas PLC,0.09%,77500,72000,,
--,Allegro.EU SA Ordinary Shares,0.09%,8100,75500,,
--,Samsung BioLogics Co Ltd,0.09%,86,72500,,
--,Schindler Holding AG Non Voting,0.09%,198,69800,,
--,STMicroelectronics NV,0.09%,3200,74900,,
--,Xero Ltd,0.09%,819,77000,,
IMO,Imperial Oil Ltd,0.09%,787,71600,,
HTHT,H World Group Ltd ADR,0.09%,1900,77100,,
